no,hora,func,valor,unidade,auto
8162,10:43:17,DC,0,022,A,A
8163,10:43:18,DC,0,022,A,A
8164,10:43:19,DC,0,022,A,A
8165,10:43:20,DC,0,022,A,A
8166,10:43:21,DC,0,022,A,A
8167,10:43:22,DC,0,022,A,A
8168,10:43:23,DC,0,021,A,A
8169,10:43:24,DC,0,021,A,A
8170,10:43:25,DC,0,021,A,A
8171,10:43:26,DC,0,021,A,A
8172,10:43:27,DC,0,021,A,A
8173,10:43:28,DC,0,022,A,A
8174,10:43:29,DC,0,022,A,A
8175,10:43:30,DC,0,021,A,A
8176,10:43:31,DC,0,021,A,A
8177,10:43:32,DC,0,021,A,A
8178,10:43:33,DC,0,021,A,A
8179,10:43:34,DC,0,021,A,A
8180,10:43:35,DC,0,022,A,A
8181,10:43:36,DC,0,022,A,A
8182,10:43:37,DC,0,021,A,A
8183,10:43:38,DC,0,021,A,A
8184,10:43:39,DC,0,021,A,A
8185,10:43:40,DC,0,021,A,A
8186,10:43:41,DC,0,021,A,A
8187,10:43:42,DC,0,022,A,A
8188,10:43:43,DC,0,022,A,A
8189,10:43:44,DC,0,021,A,A
8190,10:43:45,DC,0,021,A,A
8191,10:43:46,DC,0,021,A,A
8192,10:43:47,DC,0,021,A,A
8193,10:43:48,DC,0,021,A,A
8194,10:43:49,DC,0,022,A,A
8195,10:43:50,DC,0,021,A,A
8196,10:43:51,DC,0,021,A,A
8197,10:43:52,DC,0,021,A,A
8198,10:43:53,DC,0,021,A,A
8199,10:43:54,DC,0,021,A,A
8200,10:43:55,DC,0,021,A,A
8201,10:43:56,DC,0,022,A,A
8202,10:43:57,DC,0,022,A,A
8203,10:43:58,DC,0,022,A,A
8204,10:43:59,DC,0,022,A,A
8205,10:44:00,DC,0,022,A,A
8206,10:44:01,DC,0,021,A,A
8207,10:44:02,DC,0,021,A,A
8208,10:44:03,DC,0,021,A,A
8209,10:44:04,DC,0,021,A,A
8210,10:44:05,DC,0,02,A,A
8211,10:44:06,DC,0,018,A,A
8212,10:44:07,DC,0,016,A,A
8213,10:44:08,DC,0,016,A,A
8214,10:44:09,DC,0,016,A,A
8215,10:44:10,DC,0,016,A,A
8216,10:44:11,DC,0,016,A,A
8217,10:44:12,DC,0,016,A,A
8218,10:44:13,DC,0,016,A,A
8219,10:44:14,DC,0,016,A,A
8220,10:44:15,DC,0,016,A,A
8221,10:44:16,DC,0,016,A,A
8222,10:44:17,DC,0,016,A,A
8223,10:44:18,DC,0,017,A,A
8224,10:44:19,DC,0,016,A,A
8225,10:44:20,DC,0,016,A,A
8226,10:44:21,DC,0,016,A,A
8227,10:44:22,DC,0,016,A,A
8228,10:44:23,DC,0,016,A,A
8229,10:44:24,DC,0,016,A,A
8230,10:44:25,DC,0,016,A,A
8231,10:44:26,DC,0,016,A,A
8232,10:44:27,DC,0,016,A,A
8233,10:44:28,DC,0,016,A,A
8234,10:44:29,DC,0,016,A,A
8235,10:44:30,DC,0,017,A,A
8236,10:44:31,DC,0,017,A,A
8237,10:44:32,DC,0,016,A,A
8238,10:44:33,DC,0,016,A,A
8239,10:44:34,DC,0,016,A,A
8240,10:44:35,DC,0,016,A,A
8241,10:44:36,DC,0,016,A,A
8242,10:44:37,DC,0,016,A,A
8243,10:44:38,DC,0,016,A,A
8244,10:44:39,DC,0,016,A,A
8245,10:44:40,DC,0,016,A,A
8246,10:44:41,DC,0,016,A,A
8247,10:44:42,DC,0,016,A,A
8248,10:44:43,DC,0,016,A,A
8249,10:44:44,DC,0,016,A,A
8250,10:44:45,DC,0,016,A,A
8251,10:44:46,DC,0,016,A,A
8252,10:44:47,DC,0,016,A,A
8253,10:44:48,DC,0,016,A,A
8254,10:44:49,DC,0,016,A,A
8255,10:44:50,DC,0,016,A,A
8256,10:44:51,DC,0,016,A,A
8257,10:44:52,DC,0,016,A,A
8258,10:44:53,DC,0,016,A,A
8259,10:44:54,DC,0,016,A,A
8260,10:44:55,DC,0,016,A,A
8261,10:44:56,DC,0,016,A,A
8262,10:44:57,DC,0,016,A,A
8263,10:44:58,DC,0,017,A,A
8264,10:44:59,DC,0,017,A,A
8265,10:45:00,DC,0,016,A,A
8266,10:45:01,DC,0,016,A,A
8267,10:45:02,DC,0,016,A,A
8268,10:45:03,DC,0,016,A,A
8269,10:45:04,DC,0,016,A,A
8270,10:45:05,DC,0,017,A,A
8271,10:45:06,DC,0,02,A,A
8272,10:45:07,DC,0,022,A,A
8273,10:45:08,DC,0,022,A,A
8274,10:45:09,DC,0,022,A,A
8275,10:45:10,DC,0,022,A,A
8276,10:45:11,DC,0,022,A,A
8277,10:45:12,DC,0,022,A,A
8278,10:45:13,DC,0,022,A,A
8279,10:45:14,DC,0,022,A,A
8280,10:45:15,DC,0,022,A,A
8281,10:45:16,DC,0,022,A,A
8282,10:45:17,DC,0,022,A,A
8283,10:45:18,DC,0,022,A,A
8284,10:45:19,DC,0,022,A,A
8285,10:45:20,DC,0,022,A,A
8286,10:45:21,DC,0,022,A,A
8287,10:45:22,DC,0,022,A,A
8288,10:45:23,DC,0,021,A,A
8289,10:45:24,DC,0,021,A,A
8290,10:45:25,DC,0,021,A,A
8291,10:45:26,DC,0,021,A,A
8292,10:45:27,DC,0,022,A,A
8293,10:45:28,DC,0,022,A,A
8294,10:45:29,DC,0,021,A,A
8295,10:45:30,DC,0,021,A,A
8296,10:45:31,DC,0,021,A,A
8297,10:45:32,DC,0,021,A,A
8298,10:45:33,DC,0,022,A,A
8299,10:45:34,DC,0,021,A,A
8300,10:45:35,DC,0,021,A,A
8301,10:45:36,DC,0,021,A,A
8302,10:45:37,DC,0,021,A,A
8303,10:45:38,DC,0,021,A,A
8304,10:45:39,DC,0,022,A,A
8305,10:45:40,DC,0,022,A,A
8306,10:45:41,DC,0,022,A,A
8307,10:45:42,DC,0,022,A,A
8308,10:45:43,DC,0,022,A,A
8309,10:45:44,DC,0,021,A,A
8310,10:45:45,DC,0,021,A,A
8311,10:45:46,DC,0,022,A,A
8312,10:45:47,DC,0,021,A,A
8313,10:45:48,DC,0,021,A,A
8314,10:45:49,DC,0,022,A,A
8315,10:45:50,DC,0,022,A,A
8316,10:45:51,DC,0,022,A,A
8317,10:45:52,DC,0,021,A,A
8318,10:45:53,DC,0,022,A,A
8319,10:45:54,DC,0,022,A,A
8320,10:45:55,DC,0,022,A,A
8321,10:45:56,DC,0,022,A,A
8322,10:45:57,DC,0,021,A,A
8323,10:45:58,DC,0,021,A,A
8324,10:45:59,DC,0,021,A,A
8325,10:46:00,DC,0,021,A,A
8326,10:46:01,DC,0,021,A,A
8327,10:46:02,DC,0,021,A,A
8328,10:46:03,DC,0,021,A,A
8329,10:46:04,DC,0,021,A,A
8330,10:46:05,DC,0,019,A,A
8331,10:46:06,DC,0,017,A,A
8332,10:46:07,DC,0,016,A,A
8333,10:46:08,DC,0,016,A,A
8334,10:46:09,DC,0,016,A,A
8335,10:46:10,DC,0,016,A,A
8336,10:46:11,DC,0,016,A,A
8337,10:46:12,DC,0,016,A,A
8338,10:46:13,DC,0,016,A,A
8339,10:46:14,DC,0,016,A,A
8340,10:46:15,DC,0,016,A,A
8341,10:46:16,DC,0,016,A,A
8342,10:46:17,DC,0,016,A,A
8343,10:46:18,DC,0,016,A,A
8344,10:46:19,DC,0,016,A,A
8345,10:46:20,DC,0,016,A,A
8346,10:46:21,DC,0,016,A,A
8347,10:46:22,DC,0,016,A,A
8348,10:46:23,DC,0,016,A,A
8349,10:46:24,DC,0,016,A,A
8350,10:46:25,DC,0,016,A,A
8351,10:46:26,DC,0,016,A,A
8352,10:46:27,DC,0,016,A,A
8353,10:46:28,DC,0,016,A,A
8354,10:46:29,DC,0,016,A,A
8355,10:46:30,DC,0,016,A,A
8356,10:46:31,DC,0,016,A,A
8357,10:46:32,DC,0,016,A,A
8358,10:46:33,DC,0,016,A,A
8359,10:46:34,DC,0,016,A,A
8360,10:46:35,DC,0,016,A,A
8361,10:46:36,DC,0,016,A,A
8362,10:46:37,DC,0,016,A,A
8363,10:46:38,DC,0,016,A,A
8364,10:46:39,DC,0,016,A,A
8365,10:46:40,DC,0,017,A,A
8366,10:46:41,DC,0,017,A,A
8367,10:46:42,DC,0,016,A,A
8368,10:46:43,DC,0,016,A,A
8369,10:46:44,DC,0,017,A,A
8370,10:46:45,DC,0,017,A,A
8371,10:46:46,DC,0,016,A,A
8372,10:46:47,DC,0,016,A,A
8373,10:46:48,DC,0,016,A,A
8374,10:46:49,DC,0,016,A,A
8375,10:46:50,DC,0,016,A,A
8376,10:46:51,DC,0,016,A,A
8377,10:46:52,DC,0,016,A,A
8378,10:46:53,DC,0,016,A,A
8379,10:46:54,DC,0,016,A,A
8380,10:46:55,DC,0,016,A,A
8381,10:46:56,DC,0,016,A,A
8382,10:46:57,DC,0,016,A,A
8383,10:46:58,DC,0,016,A,A
8384,10:46:59,DC,0,016,A,A
8385,10:47:00,DC,0,016,A,A
8386,10:47:01,DC,0,016,A,A
8387,10:47:02,DC,0,016,A,A
8388,10:47:03,DC,0,017,A,A
8389,10:47:04,DC,0,016,A,A
8390,10:47:05,DC,0,018,A,A
8391,10:47:06,DC,0,021,A,A
8392,10:47:07,DC,0,022,A,A
8393,10:47:08,DC,0,022,A,A
8394,10:47:09,DC,0,021,A,A
8395,10:47:10,DC,0,022,A,A
8396,10:47:11,DC,0,022,A,A
8397,10:47:12,DC,0,021,A,A
8398,10:47:13,DC,0,021,A,A
8399,10:47:14,DC,0,021,A,A
8400,10:47:15,DC,0,021,A,A
8401,10:47:16,DC,0,021,A,A
8402,10:47:17,DC,0,021,A,A
8403,10:47:18,DC,0,021,A,A
8404,10:47:19,DC,0,021,A,A
8405,10:47:20,DC,0,021,A,A
8406,10:47:21,DC,0,021,A,A
8407,10:47:22,DC,0,022,A,A
8408,10:47:23,DC,0,022,A,A
8409,10:47:24,DC,0,021,A,A
8410,10:47:25,DC,0,021,A,A
8411,10:47:26,DC,0,021,A,A
8412,10:47:27,DC,0,022,A,A
8413,10:47:28,DC,0,022,A,A
8414,10:47:29,DC,0,021,A,A
8415,10:47:30,DC,0,021,A,A
8416,10:47:31,DC,0,021,A,A
8417,10:47:32,DC,0,021,A,A
8418,10:47:33,DC,0,022,A,A
8419,10:47:34,DC,0,021,A,A
8420,10:47:35,DC,0,021,A,A
8421,10:47:36,DC,0,021,A,A
8422,10:47:37,DC,0,021,A,A
8423,10:47:38,DC,0,021,A,A
8424,10:47:39,DC,0,021,A,A
8425,10:47:40,DC,0,021,A,A
8426,10:47:41,DC,0,022,A,A
8427,10:47:42,DC,0,022,A,A
8428,10:47:43,DC,0,021,A,A
8429,10:47:44,DC,0,021,A,A
8430,10:47:45,DC,0,022,A,A
8431,10:47:46,DC,0,022,A,A
8432,10:47:47,DC,0,022,A,A
8433,10:47:48,DC,0,021,A,A
8434,10:47:49,DC,0,021,A,A
8435,10:47:50,DC,0,021,A,A
8436,10:47:51,DC,0,022,A,A
8437,10:47:52,DC,0,021,A,A
8438,10:47:53,DC,0,021,A,A
8439,10:47:54,DC,0,021,A,A
8440,10:47:55,DC,0,021,A,A
8441,10:47:56,DC,0,021,A,A
8442,10:47:57,DC,0,021,A,A
8443,10:47:58,DC,0,021,A,A
8444,10:47:59,DC,0,021,A,A
8445,10:48:00,DC,0,021,A,A
8446,10:48:01,DC,0,021,A,A
8447,10:48:02,DC,0,021,A,A
8448,10:48:03,DC,0,021,A,A
8449,10:48:04,DC,0,022,A,A
8450,10:48:05,DC,0,019,A,A
8451,10:48:06,DC,0,017,A,A
8452,10:48:07,DC,0,016,A,A
8453,10:48:08,DC,0,016,A,A
8454,10:48:09,DC,0,016,A,A
8455,10:48:10,DC,0,016,A,A
8456,10:48:11,DC,0,016,A,A
8457,10:48:12,DC,0,016,A,A
8458,10:48:13,DC,0,016,A,A
8459,10:48:14,DC,0,016,A,A
8460,10:48:15,DC,0,016,A,A
8461,10:48:16,DC,0,016,A,A
8462,10:48:17,DC,0,016,A,A
8463,10:48:18,DC,0,016,A,A
8464,10:48:19,DC,0,016,A,A
8465,10:48:20,DC,0,016,A,A
8466,10:48:21,DC,0,016,A,A
8467,10:48:22,DC,0,016,A,A
8468,10:48:23,DC,0,016,A,A
8469,10:48:24,DC,0,016,A,A
8470,10:48:25,DC,0,016,A,A
8471,10:48:26,DC,0,016,A,A
8472,10:48:27,DC,0,016,A,A
8473,10:48:28,DC,0,016,A,A
8474,10:48:29,DC,0,016,A,A
8475,10:48:30,DC,0,016,A,A
8476,10:48:31,DC,0,016,A,A
8477,10:48:32,DC,0,016,A,A
8478,10:48:33,DC,0,016,A,A
8479,10:48:34,DC,0,016,A,A
8480,10:48:35,DC,0,016,A,A
8481,10:48:36,DC,0,016,A,A
8482,10:48:37,DC,0,016,A,A
8483,10:48:38,DC,0,016,A,A
8484,10:48:39,DC,0,016,A,A
8485,10:48:40,DC,0,017,A,A
8486,10:48:41,DC,0,016,A,A
8487,10:48:42,DC,0,016,A,A
8488,10:48:43,DC,0,016,A,A
8489,10:48:44,DC,0,016,A,A
8490,10:48:45,DC,0,017,A,A
8491,10:48:46,DC,0,016,A,A
8492,10:48:47,DC,0,016,A,A
8493,10:48:48,DC,0,016,A,A
8494,10:48:49,DC,0,016,A,A
8495,10:48:50,DC,0,016,A,A
8496,10:48:51,DC,0,016,A,A
8497,10:48:52,DC,0,016,A,A
8498,10:48:53,DC,0,016,A,A
8499,10:48:54,DC,0,016,A,A
8500,10:48:55,DC,0,016,A,A
8501,10:48:56,DC,0,016,A,A
8502,10:48:57,DC,0,016,A,A
8503,10:48:58,DC,0,016,A,A
8504,10:48:59,DC,0,016,A,A
8505,10:49:00,DC,0,016,A,A
8506,10:49:01,DC,0,016,A,A
8507,10:49:02,DC,0,016,A,A
8508,10:49:03,DC,0,016,A,A
8509,10:49:04,DC,0,016,A,A
8510,10:49:05,DC,0,018,A,A
8511,10:49:06,DC,0,02,A,A
8512,10:49:07,DC,0,022,A,A
8513,10:49:08,DC,0,022,A,A
8514,10:49:09,DC,0,022,A,A
8515,10:49:10,DC,0,022,A,A
8516,10:49:11,DC,0,021,A,A
8517,10:49:12,DC,0,021,A,A
8518,10:49:13,DC,0,022,A,A
8519,10:49:14,DC,0,022,A,A
8520,10:49:15,DC,0,021,A,A
8521,10:49:16,DC,0,021,A,A
8522,10:49:17,DC,0,021,A,A
8523,10:49:18,DC,0,021,A,A
8524,10:49:19,DC,0,021,A,A
8525,10:49:20,DC,0,021,A,A
8526,10:49:21,DC,0,022,A,A
8527,10:49:22,DC,0,022,A,A
8528,10:49:23,DC,0,022,A,A
8529,10:49:24,DC,0,021,A,A
8530,10:49:25,DC,0,021,A,A
8531,10:49:26,DC,0,021,A,A
8532,10:49:27,DC,0,021,A,A
8533,10:49:28,DC,0,021,A,A
8534,10:49:29,DC,0,021,A,A
8535,10:49:30,DC,0,021,A,A
8536,10:49:31,DC,0,021,A,A
8537,10:49:32,DC,0,021,A,A
8538,10:49:33,DC,0,021,A,A
8539,10:49:34,DC,0,022,A,A
8540,10:49:35,DC,0,021,A,A
8541,10:49:36,DC,0,021,A,A
8542,10:49:37,DC,0,022,A,A
8543,10:49:38,DC,0,022,A,A
8544,10:49:39,DC,0,021,A,A
8545,10:49:40,DC,0,021,A,A
8546,10:49:41,DC,0,021,A,A
8547,10:49:42,DC,0,021,A,A
8548,10:49:43,DC,0,021,A,A
8549,10:49:44,DC,0,021,A,A
8550,10:49:45,DC,0,021,A,A
8551,10:49:46,DC,0,021,A,A
8552,10:49:47,DC,0,021,A,A
8553,10:49:48,DC,0,021,A,A
8554,10:49:49,DC,0,021,A,A
8555,10:49:50,DC,0,021,A,A
8556,10:49:51,DC,0,021,A,A
8557,10:49:52,DC,0,021,A,A
8558,10:49:53,DC,0,021,A,A
8559,10:49:54,DC,0,022,A,A
8560,10:49:55,DC,0,021,A,A
8561,10:49:56,DC,0,022,A,A
8562,10:49:57,DC,0,021,A,A
8563,10:49:58,DC,0,021,A,A
8564,10:49:59,DC,0,022,A,A
8565,10:50:00,DC,0,021,A,A
8566,10:50:01,DC,0,022,A,A
8567,10:50:02,DC,0,021,A,A
8568,10:50:03,DC,0,021,A,A
8569,10:50:04,DC,0,021,A,A
8570,10:50:05,DC,0,019,A,A
8571,10:50:06,DC,0,017,A,A
8572,10:50:07,DC,0,016,A,A
8573,10:50:08,DC,0,016,A,A
8574,10:50:09,DC,0,016,A,A
8575,10:50:10,DC,0,016,A,A
8576,10:50:11,DC,0,016,A,A
8577,10:50:12,DC,0,016,A,A
8578,10:50:13,DC,0,016,A,A
8579,10:50:14,DC,0,016,A,A
8580,10:50:15,DC,0,016,A,A
8581,10:50:16,DC,0,016,A,A
8582,10:50:17,DC,0,016,A,A
8583,10:50:18,DC,0,016,A,A
8584,10:50:19,DC,0,016,A,A
8585,10:50:20,DC,0,016,A,A
8586,10:50:21,DC,0,016,A,A
8587,10:50:22,DC,0,016,A,A
8588,10:50:23,DC,0,016,A,A
8589,10:50:24,DC,0,016,A,A
8590,10:50:25,DC,0,016,A,A
8591,10:50:26,DC,0,016,A,A
8592,10:50:27,DC,0,016,A,A
8593,10:50:28,DC,0,016,A,A
8594,10:50:29,DC,0,016,A,A
8595,10:50:30,DC,0,016,A,A
8596,10:50:31,DC,0,016,A,A
8597,10:50:32,DC,0,016,A,A
8598,10:50:33,DC,0,016,A,A
8599,10:50:34,DC,0,016,A,A
8600,10:50:35,DC,0,016,A,A
8601,10:50:36,DC,0,016,A,A
8602,10:50:37,DC,0,016,A,A
8603,10:50:38,DC,0,016,A,A
8604,10:50:39,DC,0,016,A,A
8605,10:50:40,DC,0,016,A,A
8606,10:50:41,DC,0,016,A,A
8607,10:50:42,DC,0,016,A,A
8608,10:50:43,DC,0,016,A,A
8609,10:50:44,DC,0,016,A,A
8610,10:50:45,DC,0,016,A,A
8611,10:50:46,DC,0,016,A,A
8612,10:50:47,DC,0,016,A,A
8613,10:50:48,DC,0,016,A,A
8614,10:50:49,DC,0,016,A,A
8615,10:50:50,DC,0,016,A,A
8616,10:50:51,DC,0,016,A,A
8617,10:50:52,DC,0,016,A,A
8618,10:50:53,DC,0,016,A,A
8619,10:50:54,DC,0,016,A,A
8620,10:50:55,DC,0,016,A,A
8621,10:50:56,DC,0,016,A,A
8622,10:50:57,DC,0,016,A,A
8623,10:50:58,DC,0,016,A,A
8624,10:50:59,DC,0,016,A,A
8625,10:51:00,DC,0,016,A,A
8626,10:51:01,DC,0,016,A,A
8627,10:51:02,DC,0,016,A,A
8628,10:51:03,DC,0,016,A,A
8629,10:51:04,DC,0,016,A,A
8630,10:51:05,DC,0,018,A,A
8631,10:51:06,DC,0,02,A,A
8632,10:51:07,DC,0,022,A,A
8633,10:51:08,DC,0,021,A,A
8634,10:51:09,DC,0,021,A,A
8635,10:51:10,DC,0,021,A,A
8636,10:51:11,DC,0,021,A,A
8637,10:51:12,DC,0,021,A,A
8638,10:51:13,DC,0,021,A,A
8639,10:51:14,DC,0,021,A,A
8640,10:51:15,DC,0,022,A,A
8641,10:51:16,DC,0,021,A,A
8642,10:51:17,DC,0,021,A,A
8643,10:51:18,DC,0,021,A,A
8644,10:51:19,DC,0,021,A,A
8645,10:51:20,DC,0,021,A,A
8646,10:51:21,DC,0,021,A,A
8647,10:51:22,DC,0,021,A,A
8648,10:51:23,DC,0,021,A,A
8649,10:51:24,DC,0,021,A,A
8650,10:51:25,DC,0,021,A,A
8651,10:51:26,DC,0,021,A,A
8652,10:51:27,DC,0,021,A,A
8653,10:51:28,DC,0,021,A,A
8654,10:51:29,DC,0,021,A,A
8655,10:51:30,DC,0,021,A,A
8656,10:51:31,DC,0,021,A,A
8657,10:51:32,DC,0,021,A,A
8658,10:51:33,DC,0,021,A,A
8659,10:51:34,DC,0,021,A,A
8660,10:51:35,DC,0,021,A,A
8661,10:51:36,DC,0,021,A,A
8662,10:51:37,DC,0,021,A,A
8663,10:51:38,DC,0,022,A,A
8664,10:51:39,DC,0,021,A,A
8665,10:51:40,DC,0,021,A,A
8666,10:51:41,DC,0,021,A,A
8667,10:51:42,DC,0,021,A,A
8668,10:51:43,DC,0,021,A,A
8669,10:51:44,DC,0,021,A,A
8670,10:51:45,DC,0,021,A,A
8671,10:51:46,DC,0,021,A,A
8672,10:51:47,DC,0,021,A,A
8673,10:51:48,DC,0,021,A,A
8674,10:51:49,DC,0,021,A,A
8675,10:51:50,DC,0,021,A,A
8676,10:51:51,DC,0,021,A,A
8677,10:51:52,DC,0,021,A,A
8678,10:51:53,DC,0,021,A,A
8679,10:51:54,DC,0,021,A,A
8680,10:51:55,DC,0,021,A,A
8681,10:51:56,DC,0,021,A,A
8682,10:51:57,DC,0,021,A,A
8683,10:51:58,DC,0,021,A,A
8684,10:51:59,DC,0,021,A,A
8685,10:52:00,DC,0,021,A,A
8686,10:52:01,DC,0,021,A,A
8687,10:52:02,DC,0,021,A,A
8688,10:52:03,DC,0,021,A,A
8689,10:52:04,DC,0,021,A,A
8690,10:52:05,DC,0,019,A,A
8691,10:52:06,DC,0,018,A,A
8692,10:52:07,DC,0,016,A,A
8693,10:52:08,DC,0,016,A,A
8694,10:52:09,DC,0,016,A,A
8695,10:52:10,DC,0,016,A,A
8696,10:52:11,DC,0,016,A,A
8697,10:52:12,DC,0,016,A,A
8698,10:52:13,DC,0,016,A,A
8699,10:52:14,DC,0,016,A,A
8700,10:52:15,DC,0,016,A,A
8701,10:52:16,DC,0,016,A,A
8702,10:52:17,DC,0,016,A,A
8703,10:52:18,DC,0,016,A,A
8704,10:52:19,DC,0,016,A,A
8705,10:52:20,DC,0,016,A,A
8706,10:52:21,DC,0,016,A,A
8707,10:52:22,DC,0,016,A,A
8708,10:52:23,DC,0,016,A,A
8709,10:52:24,DC,0,016,A,A
8710,10:52:25,DC,0,016,A,A
8711,10:52:26,DC,0,016,A,A
8712,10:52:27,DC,0,016,A,A
8713,10:52:28,DC,0,016,A,A
8714,10:52:29,DC,0,016,A,A
8715,10:52:30,DC,0,016,A,A
8716,10:52:31,DC,0,016,A,A
8717,10:52:32,DC,0,016,A,A
8718,10:52:33,DC,0,016,A,A
8719,10:52:34,DC,0,016,A,A
8720,10:52:35,DC,0,016,A,A
8721,10:52:36,DC,0,016,A,A
8722,10:52:37,DC,0,016,A,A
8723,10:52:38,DC,0,016,A,A
8724,10:52:39,DC,0,016,A,A
8725,10:52:40,DC,0,016,A,A
8726,10:52:41,DC,0,016,A,A
8727,10:52:42,DC,0,016,A,A
8728,10:52:43,DC,0,016,A,A
8729,10:52:44,DC,0,016,A,A
8730,10:52:45,DC,0,016,A,A
8731,10:52:46,DC,0,016,A,A
8732,10:52:47,DC,0,016,A,A
8733,10:52:48,DC,0,016,A,A
8734,10:52:49,DC,0,016,A,A
8735,10:52:50,DC,0,016,A,A
8736,10:52:51,DC,0,016,A,A
8737,10:52:52,DC,0,016,A,A
8738,10:52:53,DC,0,016,A,A
8739,10:52:54,DC,0,016,A,A
8740,10:52:55,DC,0,016,A,A
8741,10:52:56,DC,0,016,A,A
8742,10:52:57,DC,0,016,A,A
8743,10:52:58,DC,0,016,A,A
8744,10:52:59,DC,0,016,A,A
8745,10:53:00,DC,0,016,A,A
8746,10:53:01,DC,0,016,A,A
8747,10:53:02,DC,0,016,A,A
8748,10:53:03,DC,0,016,A,A
8749,10:53:04,DC,0,016,A,A
8750,10:53:05,DC,0,017,A,A
8751,10:53:06,DC,0,019,A,A
8752,10:53:07,DC,0,021,A,A
8753,10:53:08,DC,0,021,A,A
8754,10:53:09,DC,0,021,A,A
8755,10:53:10,DC,0,021,A,A
8756,10:53:11,DC,0,022,A,A
8757,10:53:12,DC,0,022,A,A
8758,10:53:13,DC,0,021,A,A
8759,10:53:14,DC,0,021,A,A
8760,10:53:15,DC,0,021,A,A
8761,10:53:16,DC,0,021,A,A
8762,10:53:17,DC,0,022,A,A
8763,10:53:18,DC,0,022,A,A
8764,10:53:19,DC,0,022,A,A
8765,10:53:20,DC,0,021,A,A
8766,10:53:21,DC,0,021,A,A
8767,10:53:22,DC,0,021,A,A
8768,10:53:23,DC,0,021,A,A
8769,10:53:24,DC,0,021,A,A
8770,10:53:25,DC,0,021,A,A
8771,10:53:26,DC,0,022,A,A
8772,10:53:27,DC,0,021,A,A
8773,10:53:28,DC,0,021,A,A
8774,10:53:29,DC,0,021,A,A
8775,10:53:30,DC,0,021,A,A
8776,10:53:31,DC,0,021,A,A
8777,10:53:32,DC,0,021,A,A
8778,10:53:33,DC,0,021,A,A
8779,10:53:34,DC,0,022,A,A
8780,10:53:35,DC,0,022,A,A
8781,10:53:36,DC,0,022,A,A
8782,10:53:37,DC,0,022,A,A
8783,10:53:38,DC,0,021,A,A
8784,10:53:39,DC,0,021,A,A
8785,10:53:40,DC,0,021,A,A
8786,10:53:41,DC,0,021,A,A
8787,10:53:42,DC,0,021,A,A
8788,10:53:43,DC,0,021,A,A
8789,10:53:44,DC,0,022,A,A
8790,10:53:45,DC,0,022,A,A
8791,10:53:46,DC,0,022,A,A
8792,10:53:47,DC,0,021,A,A
8793,10:53:48,DC,0,021,A,A
8794,10:53:49,DC,0,021,A,A
8795,10:53:50,DC,0,022,A,A
8796,10:53:51,DC,0,022,A,A
8797,10:53:52,DC,0,022,A,A
8798,10:53:53,DC,0,021,A,A
8799,10:53:54,DC,0,021,A,A
8800,10:53:55,DC,0,021,A,A
8801,10:53:56,DC,0,022,A,A
8802,10:53:57,DC,0,022,A,A
8803,10:53:58,DC,0,022,A,A
8804,10:53:59,DC,0,021,A,A
8805,10:54:00,DC,0,021,A,A
8806,10:54:01,DC,0,021,A,A
8807,10:54:02,DC,0,021,A,A
8808,10:54:03,DC,0,021,A,A
8809,10:54:04,DC,0,021,A,A
8810,10:54:05,DC,0,019,A,A
8811,10:54:06,DC,0,017,A,A
8812,10:54:07,DC,0,016,A,A
8813,10:54:08,DC,0,016,A,A
8814,10:54:09,DC,0,016,A,A
8815,10:54:10,DC,0,016,A,A
8816,10:54:11,DC,0,016,A,A
8817,10:54:12,DC,0,016,A,A
8818,10:54:13,DC,0,016,A,A
8819,10:54:14,DC,0,016,A,A
8820,10:54:15,DC,0,016,A,A
8821,10:54:16,DC,0,016,A,A
8822,10:54:17,DC,0,016,A,A
8823,10:54:18,DC,0,016,A,A
8824,10:54:19,DC,0,016,A,A
8825,10:54:20,DC,0,016,A,A
8826,10:54:21,DC,0,016,A,A
8827,10:54:22,DC,0,016,A,A
8828,10:54:23,DC,0,016,A,A
8829,10:54:24,DC,0,016,A,A
8830,10:54:25,DC,0,016,A,A
8831,10:54:26,DC,0,016,A,A
8832,10:54:27,DC,0,016,A,A
8833,10:54:28,DC,0,016,A,A
8834,10:54:29,DC,0,016,A,A
8835,10:54:30,DC,0,016,A,A
8836,10:54:31,DC,0,016,A,A
8837,10:54:32,DC,0,016,A,A
8838,10:54:33,DC,0,016,A,A
8839,10:54:34,DC,0,016,A,A
8840,10:54:35,DC,0,016,A,A
8841,10:54:36,DC,0,016,A,A
8842,10:54:37,DC,0,016,A,A
8843,10:54:38,DC,0,016,A,A
8844,10:54:39,DC,0,016,A,A
8845,10:54:40,DC,0,016,A,A
8846,10:54:41,DC,0,016,A,A
8847,10:54:42,DC,0,016,A,A
8848,10:54:43,DC,0,016,A,A
8849,10:54:44,DC,0,016,A,A
8850,10:54:45,DC,0,016,A,A
8851,10:54:46,DC,0,016,A,A
8852,10:54:47,DC,0,016,A,A
8853,10:54:48,DC,0,016,A,A
8854,10:54:49,DC,0,016,A,A
8855,10:54:50,DC,0,016,A,A
8856,10:54:51,DC,0,016,A,A
8857,10:54:52,DC,0,016,A,A
8858,10:54:53,DC,0,016,A,A
8859,10:54:54,DC,0,016,A,A
8860,10:54:55,DC,0,016,A,A
